[Node 2] 2025/12/10 19:11:38.947593 Node 2: initializing at localhost:8002 with 9 peers
[Node 2] 2025/12/10 19:11:38.947712 [Database] opening BoltDB at data/node-2.db
[Node 2] 2025/12/10 19:11:38.979467 Node 2: BoltDB initialized at data/node-2.db
[Node 2] 2025/12/10 19:11:38.979632 Node 2: no shard overrides loaded (open config/overrides.json: no such file or directory)
[Node 2] 2025/12/10 19:11:38.979666 [Database] client 1 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:38.979672 Node 2: leader timeout monitor running
[Node 2] 2025/12/10 19:11:38.994377 [Database] client 2 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.010442 [Database] client 3 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.025555 [Database] client 4 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.041453 [Database] client 5 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.056346 [Database] client 6 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.072460 [Database] client 7 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.088510 [Database] client 8 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.104567 [Database] client 9 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.119486 [Database] client 10 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.136134 [Database] client 11 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.150468 [Database] client 12 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.165366 [Database] client 13 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.179470 [Database] client 14 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.195496 [Database] client 15 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.211452 [Database] client 16 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.227445 [Database] client 17 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.243482 [Database] client 18 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.259380 [Database] client 19 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.275523 [Database] client 20 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.291390 [Database] client 21 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.307377 [Database] client 22 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.323398 [Database] client 23 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.339428 [Database] client 24 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.355386 [Database] client 25 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.371426 [Database] client 26 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.387438 [Database] client 27 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.403522 [Database] client 28 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.419469 [Database] client 29 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.435470 [Database] client 30 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.450469 [Database] client 31 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.466431 [Database] client 32 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.482462 [Database] client 33 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.498423 [Database] client 34 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.514396 [Database] client 35 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.530432 [Database] client 36 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.546372 [Database] client 37 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.562430 [Database] client 38 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.578476 [Database] client 39 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.594419 [Database] client 40 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.610509 [Database] client 41 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.625456 [Database] client 42 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:39.641494 [Database] client 43 initialized with balance 10 (bolt)
